head,tail,relation,description(head)
capec1,capec122,ChildOf,applic particular web applic access function mitig author framework framework map access control list acl element applic function particular url web app case administr fail specifi acl particular element attack may abl access impun attack abil access function proper constrain acl obtain sensit inform possibl compromis entir applic attack access resourc must avail user higher privileg level access manag section applic run queri data otherwis suppos 
capec122,capec1,ParentOf,adversari abl exploit featur target reserv privileg user administr expos use lower non privileg account access sensit inform function must control ensur author user abl access resourc access control mechan absent misconfigur user may abl access resourc intend higher level user adversari may abl exploit util less trust account gain inform perform activ reserv trust account attack differ privileg escal privileg steal attack adversari never actual escal privileg instead abl use lesser degre privileg access resourc reserv higher privileg account likewis adversari exploit trust subvert system control function work configur configur adequ protect sensit resourc appropri level 
capec10,capec100,ChildOf,attack pattern involv caus buffer overflow manipul environ variabl attack find modifi environ variabl may tri overflow associ buffer attack leverag implicit trust often place environ variabl 
capec100,capec10,ParentOf,buffer overflow attack target improp miss bound check buffer oper typic trigger input inject adversari consequ adversari abl write past boundari alloc buffer region memori caus program crash potenti redirect execut per adversari choic 
capec100,capec123,ChildOf,buffer overflow attack target improp miss bound check buffer oper typic trigger input inject adversari consequ adversari abl write past boundari alloc buffer region memori caus program crash potenti redirect execut per adversari choic 
capec123,capec100,ParentOf,adversari manipul applic interact buffer attempt read modifi data access buffer attack distinguish buffer space target attack rather code respons interpret content buffer virtual buffer attack content place buffer immateri instead buffer attack involv retriev provid input store alloc buffer result read overwrit unintend program memori 
capec101,capec253,ChildOf,attack use server side includ ssi inject send code web applic get execut web server enabl attack achiev similar result cross site script viz arbitrari code execut inform disclosur albeit limit scale sinc ssi direct nowher near power full fledg script languag nonetheless attack conveni gain access sensit file password file execut shell command 
capec253,capec101,ParentOf,attack forc applic load arbitrari code file remot locat attack could use tri load old version librari file known vulner load malici file attack place remot machin otherwis chang function target applic unexpect way 
capec102,capec593,ChildOf,session sidejack take advantag unencrypt communic channel victim target system attack sniff traffic network look session token unencrypt traffic session token captur attack perform malici action use stolen token target applic imperson victim attack specif method session hijack exploit valid session token gain unauthor access target system inform method perform session hijack session fixat cross site script compromis user server machin steal session token 
capec593,capec102,ParentOf,type attack involv adversari exploit weak applic use session perform authent advarsari abl steal manipul activ session use gain unathor access applic 
capec103,capec173,ChildOf,clickjack attack victim trick unknow initi action one system interact ui seem complet differ system log target system victim visit adversari malici site display ui victim wish interact realiti clickjack page transpar layer visibl ui action control adversari wish victim execut victim click button ui element see page actual trigger action control transpar overlay layer depend action control adversari may trick victim execut potenti privileg certain undesir function target system victim authent basic problem dichotomi victim think click versus actual click 
capec173,capec103,ParentOf,adversari abl disguis one action anoth therefor trick user initi one type action intend initi differ action exampl user might led believ click button submit queri fact download softwar adversari may perform attack social mean simpli convinc victim perform action reli user natur inclin technic mean clickjack attack user see one interfac actual interact second invis interfac 
capec104,capec233,ChildOf,attack abl caus victim load content web browser bypass secur zone control gain access increas privileg execut script code web object unsign activex control applet privileg elev attack target zone base web browser secur zone base model page belong one set zone correspond level privileg assign page page untrust zone would lesser level access system restrict type execut content allow invok cross zone script attack page assign less privileg zone grant privileg trust zone accomplish exploit bug browser exploit incorrect configur zone control cross site script attack caus attack content treat come trust page leverag piec system function access trust less trust zone attack differ rest privileg escal latter correl inadequ secur rest access method http delet server cross zone script attack concept secur zone implement browser 
capec233,capec104,ParentOf,adversari exploit weak enabl elev privileg perform action suppos author perform 
capec105,capec220,ChildOf,http request split also known http request smuggl attack pattern attack attempt insert addit http request bodi origin envelop http request way browser interpret one request web server interpret two sever way perform http request split attack one way includ doubl content length header request exploit fact devic pars request may use differ header anoth way submit http request transfer encod chunk request header set setrequesthead allow payload http request consid anoth http request subsequ pars entiti third way use doubl cr http header techniqu also less general techniqu target specif pars vulner certain web server 
capec220,capec105,ParentOf,adversari take advantag weak protocol client server communic perform unexpect action communic protocol necessari transfer messag client server applic moreov differ protocol may use differ type interact exampl authent protocol might use establish ident server client separ messag protocol might use exchang data weak protocol use client server attack might take advantag perform various type attack exampl attack abl manipul authent protocol attack may abl spoof client server attack abl manipul messag protocol may abl read sensit inform modifi messag content attack often made easier fact mani client server support multipl protocol perform similar role exampl server might support sever differ authent protocol order support wide rang client includ legaci client older protocol may vulner allow attack manipul client server interact 
capec107,capec593,ChildOf,cross site trace xst enabl adversari steal victim session cooki possibl authent credenti transmit header http request victim browser communic destin system web server adversari first get malici script run victim browser induc browser initi http trace request web server destin web server allow http trace request proceed return respons victim web browser contain origin http request bodi function http trace defin http specif echo request web server receiv client back client sinc http header origin request victim session cooki session cooki pick http trace respons sent adversari malici site xst becom relev direct access session cooki via document cooki object disabl use httpon attribut ensur cooki transmit http request cannot access way use ssl protect xst system victim interact suscept xss adversari exploit weak direct get malici script issu http trace request destin system web server absenc xss weak site victim interact adversari get script come site control get execut victim browser trick victim visit malici websit click link suppli howev case due origin polici protect mechan browser adversari malici script cannot direct issu http trace request destin system web server malici script origin domain adversari need find way exploit anoth weak would enabl get around origin polici protect 
capec593,capec107,ParentOf,type attack involv adversari exploit weak applic use session perform authent advarsari abl steal manipul activ session use gain unathor access applic 
capec107,capec63,CanFollow,cross site trace xst enabl adversari steal victim session cooki possibl authent credenti transmit header http request victim browser communic destin system web server adversari first get malici script run victim browser induc browser initi http trace request web server destin web server allow http trace request proceed return respons victim web browser contain origin http request bodi function http trace defin http specif echo request web server receiv client back client sinc http header origin request victim session cooki session cooki pick http trace respons sent adversari malici site xst becom relev direct access session cooki via document cooki object disabl use httpon attribut ensur cooki transmit http request cannot access way use ssl protect xst system victim interact suscept xss adversari exploit weak direct get malici script issu http trace request destin system web server absenc xss weak site victim interact adversari get script come site control get execut victim browser trick victim visit malici websit click link suppli howev case due origin polici protect mechan browser adversari malici script cannot direct issu http trace request destin system web server malici script origin domain adversari need find way exploit anoth weak would enabl get around origin polici protect 
capec63,capec107,CanPrecede,adversari emb malici script content serv web browser goal attack target softwar client side browser execut script user privileg level attack type exploit program vulner brought allow remot host execut code script web browser exampl simpl secur control place remot attack allow execut script inject user generat content like bulletin board control may bypass attack difficult end user detect 
capec108,capec66,ChildOf,attack use standard sql inject method inject data command line execut could done direct misus direct mssql xp cmdshell indirect inject data databas would interpret shell command sometim later unscrupul backend applic could part function applic fetch inject data store databas use data command line argument without perform proper valid malici data escap data plane spawn new command execut host 
capec66,capec108,ParentOf,attack exploit target softwar construct sql statement base user input attack craft input string target softwar construct sql statement base input result sql statement perform action applic intend sql inject result failur applic appropri valid input special craft user control input consist sql syntax use without proper valid part sql queri possibl glean inform databas way envisag applic design depend upon databas design applic may also possibl leverag inject databas execut system relat command attack choic sql inject enabl attack talk direct databas thus bypass applic complet success inject caus inform disclosur well abil add modifi data databas order success inject sql retriev inform databas attack 
capec109,capec66,ChildOf,attack leverag weak present databas access layer code generat object relat map orm tool weak way develop use persist framework inject sql command execut under databas attack similar plain sql inject except applic use jdbc direct talk databas instead use data access layer generat orm tool framework e g hibern time code generat orm tool contain safe access method immun sql inject sometim either due weak generat code due fact develop fail use generat access method proper sql inject still possibl 
capec66,capec109,ParentOf,attack exploit target softwar construct sql statement base user input attack craft input string target softwar construct sql statement base input result sql statement perform action applic intend sql inject result failur applic appropri valid input special craft user control input consist sql syntax use without proper valid part sql queri possibl glean inform databas way envisag applic design depend upon databas design applic may also possibl leverag inject databas execut system relat command attack choic sql inject enabl attack talk direct databas thus bypass applic complet success inject caus inform disclosur well abil add modifi data databas order success inject sql retriev inform databas attack 
capec11,capec635,ChildOf,attack type exploit web server decis take action base filenam file extens differ file type handl differ server process misclassif may forc web server take unexpect action expect action unexpect sequenc may caus server exhaust resourc suppli debug system data attack bind attack remot process type vulner found mani wide use server includ ii lotus domino orion attack job case straightforward standard communic protocol method use general append malici inform tail end otherwis legitim request attack payload vari could special charact like period simpli append tag special mean oper server side like jsp java applic server essenc attack attack deceiv server execut function base name request e login jsp content 
capec635,capec11,ParentOf,extens file name often use various context determin applic use open use attack caus altern applic use may abl execut malici code caus denial servic expos sensit inform
capec110,capec66,ChildOf,attack modifi paramet soap messag sent servic consum servic provid initi sql inject attack servic provid side soap messag pars paramet proper valid use access databas way use paramet bind thus enabl attack control structur execut sql queri pattern describ sql inject attack deliveri mechan soap messag 
capec66,capec110,ParentOf,attack exploit target softwar construct sql statement base user input attack craft input string target softwar construct sql statement base input result sql statement perform action applic intend sql inject result failur applic appropri valid input special craft user control input consist sql syntax use without proper valid part sql queri possibl glean inform databas way envisag applic design depend upon databas design applic may also possibl leverag inject databas execut system relat command attack choic sql inject enabl attack talk direct databas thus bypass applic complet success inject caus inform disclosur well abil add modifi data databas order success inject sql retriev inform databas attack 
capec110,capec280,CanFollow,attack modifi paramet soap messag sent servic consum servic provid initi sql inject attack servic provid side soap messag pars paramet proper valid use access databas way use paramet bind thus enabl attack control structur execut sql queri pattern describ sql inject attack deliveri mechan soap messag 
capec280,capec110,CanPrecede,attack send soap messag field valu server like expect order precipit non standard server behavior soap messag paramet take form valu within xml element server xml schema indic certain restrict paramet valu exampl server may expect paramet string fewer charact number less soap paramet tamper attack attack either violat schema take advantag flexibl within scheme exampl lack charact limit provid paramet server might expect exampl unexpect paramet includ overs data data differ data type insert metacharact within data send contextu inappropri data exampl send non exist product name product name field use order sequenc number result attack includ inform disclosur denial servic even execut arbitrari code 
capec111,capec212,ChildOf,attack target system use javascript object notat json transport mechan client server common web system use ajax steal possibl confidenti inform transmit server back client insid json object take advantag loophol browser origin polici prohibit javascript one websit includ execut context anoth websit attack get victim visit malici page contain script tag whose sourc point vulner system url request respons server contain json object possibl confidenti inform malici page also contain malici code captur json object return server process take place typic overrid javascript function use creat new object hook allow malici code get access creation object transmit possibl sensit content captur json object attack server noth browser secur model prevent attack malici javascript code origin attack domain set environ describ intercept json object respons come vulner target system domain read content transmit attack control site origin polici protect domain object model dom json 
capec212,capec111,ParentOf,adversari leverag legitim capabl applic way achiev negat technic impact system function alter modifi use way intend often accomplish overus specif function leverag function design flaw enabl adversari gain access unauthor sensit data 
capec12,capec21,PeerOf,pattern attack defin select messag distribut via multicast public inform channel intend anoth client determin paramet valu assign client attack allow adversari gain access potenti privileg inform possibl perpetr attack distribut mean imperson channel messag manipul input rather output mechan system command bus style attack could use chang adversari identifi privileg one 
capec21,capec12,PeerOf,attack session id resourc id take advantag fact softwar accept user input without verifi authent exampl messag queu system allow servic request post messag queue open channel anonym ftp author done check group role membership contain post messag howev proof messag inform messag group role membership inde process wrote messag queue authent author mani server side process vulner attack server server communic analyz secur perspect process trust system behind firewal similar way server use easi guess spoofabl scheme repres digit ident also vulner system frequent use scheme without cryptographi digit signatur broken cryptographi session id may guess due insuffici random poor protect pass clear lack integr unsign improp correl access control polici enforc point expos configur properti file contain system password databas connect string may also give attack edg identifi identifi net result spoof imperson possibl lead attack abil break authent author audit control system 
capec12,capec216,ChildOf,pattern attack defin select messag distribut via multicast public inform channel intend anoth client determin paramet valu assign client attack allow adversari gain access potenti privileg inform possibl perpetr attack distribut mean imperson channel messag manipul input rather output mechan system command bus style attack could use chang adversari identifi privileg one 
capec216,capec12,ParentOf,adversari manipul set paramet communic channel order compromis secur result inform exposur insert remov inform communic stream potenti system compromis 
capec120,capec267,ChildOf,adversari util repeat encod process set charact charact encod charact encod charact obfusc payload particular request may allow adversari bypass filter attempt detect illeg charact string might use travers inject attack filter may abl catch illeg encod string may catch doubli encod string exampl dot often use path travers attack therefor often block filter could url encod e howev mani filter recogn encod would still block request doubl encod url encod would encod result e filter might catch could still interpret dot interpret target 
capec267,capec120,ParentOf,adversari leverag possibl encod potenti harm input content use applic applic ineffect valid encod standard 
capec121,capec113,ChildOf,attack exploit sampl demonstr test api insecur default resid product system applic includ api intend allow administr test refin domain api usual disabl system enter product environ test api may expos great deal diagnost inform intend aid administr also use attack refin attack moreov test api may adequ secur control may undergon rigor test sinc intend use product environ may mani flaw vulner would allow attack sever disrupt target 
capec113,capec121,ParentOf,adversari manipul use process applic program interfac api result advers impact upon secur system implement api allow adversari execut function intend api implement possibl compromis system integr api api manipul take number form includ forc unexpect use api use api unintend way exampl adversari may make request applic leverag non standard api known incorrect valid data thus may manipul suppli metacharact altern encod input result number inject flaw includ sql inject cross site script command execut anoth exampl could api method disabl product applic thus expos danger function within product environ 
capec126,capec153,ChildOf,adversari use path manipul method exploit insuffici input valid target obtain access data retriev ordinari well form request typic varieti attack involv specifi path desir file togeth dot dot slash charact result file access api function travers intend directori structur root file system replac modifi expect path inform access function api retriev file desir attack attack either involv attack provid complet path target file use control charact e g path separ dot reach desir directori file 
capec153,capec126,ParentOf,attack exploit weak input valid control format structur composit data input process interfac suppli input non standard unexpect form attack advers impact secur target exampl use differ charact encod might caus danger text treat safe text altern attack may use certain flag file extens make target applic believ provid data handl use certain interpret data actual appropri type lead bypass protect mechan forc target use specif compon input process otherwis caus user data handl differ might otherwis expect attack differ variabl manipul variabl manipul attempt subvert target process valu input input data manipul seek control input process 
capec127,capec54,ChildOf,adversari craft request target result target list index content directori output one common method trigger directori content output construct request contain path termin directori name rather file name sinc mani applic configur provid list directori content request receiv adversari use explor directori tree target well learn name file often end reveal test file backup file temporari file hidden file configur file user account script content well name convent use attack mount addit attack 
capec54,capec127,ParentOf,adversari awar applic locat possibl author use applic probe applic structur evalu robust submit request examin respons often accomplish send variant expect queri hope modifi queri might return inform beyond expect set queri would provid 
capec128,capec153,ChildOf,attack take advantag structur integ variabl caus variabl assum valu expect applic exampl ad one largest posit integ sign integ variabl result negat number negat number may illeg applic applic may prevent attack provid direct applic may consid ad two posit number creat negat number structur integ storag format 
capec153,capec128,ParentOf,attack exploit weak input valid control format structur composit data input process interfac suppli input non standard unexpect form attack advers impact secur target exampl use differ charact encod might caus danger text treat safe text altern attack may use certain flag file extens make target applic believ provid data handl use certain interpret data actual appropri type lead bypass protect mechan forc target use specif compon input process otherwis caus user data handl differ might otherwis expect attack differ variabl manipul variabl manipul attempt subvert target process valu input input data manipul seek control input process 
capec13,capec77,ChildOf,attack direct indirect modifi environ variabl use control target softwar attack goal caus target softwar deviat expect oper manner benefit attack 
capec77,capec13,ParentOf,attack target user control variabl debug php global forth attack overrid environ variabl leverag user suppli untrust queri variabl direct use applic server without data sanit extrem case attack chang variabl control busi logic applic instanc languag like php number poor set default configur may allow user overrid variabl 
capec13,capec14,CanPrecede,attack direct indirect modifi environ variabl use control target softwar attack goal caus target softwar deviat expect oper manner benefit attack 
capec14,capec13,CanFollow,type attack exploit buffer overflow vulner target client softwar inject malici content custom built hostil servic 
capec13,capec10,PeerOf,attack direct indirect modifi environ variabl use control target softwar attack goal caus target softwar deviat expect oper manner benefit attack 
capec10,capec13,PeerOf,attack pattern involv caus buffer overflow manipul environ variabl attack find modifi environ variabl may tri overflow associ buffer attack leverag implicit trust often place environ variabl 
capec132,capec159,ChildOf,attack posit symbol link manner target user applic access link endpoint assum access file link name endpoint file may either output input file output result endpoint modifi instead file intend locat modif endpoint file may includ append overwrit corrupt chang permiss modif variant attack attack may abl control chang file case cannot former especi damag sinc attack may abl grant increas privileg insert fals inform latter also damag expos sensit inform corrupt destroy vital system applic file altern endpoint file may serv input target applic use feed malform input target caus target process differ inform possibl allow attack control action target caus target expos inform attack moreov action taken endpoint file undertaken permiss target user applic may exceed permiss attack would normal 
capec159,capec132,ParentOf,adversari exploit weak way applic search extern librari manipul execut flow point adversari suppli librari code base pattern attack allow adversari compromis applic server via execut unauthor code applic typic make call function part librari extern applic librari may part oper system may third parti librari adversari redirect applic attempt access librari librari adversari suppli adversari abl forc target applic execut arbitrari code especi danger target applic enhanc privileg access redirect number techniqu includ use symbol link search path modif relat path manipul 
capec133,capec113,ChildOf,attack attempt invok common switch option target applic purpos discov weak target exampl applic ad debug switch caus debug inform display sometim reveal sensit process configur inform attack attack differ form api abus attack blind attempt invok option hope one work rather specif target known option nonetheless even attack familiar publish option target applic attack method may still fruit might discov unpublic function 
capec113,capec133,ParentOf,adversari manipul use process applic program interfac api result advers impact upon secur system implement api allow adversari execut function intend api implement possibl compromis system integr api api manipul take number form includ forc unexpect use api use api unintend way exampl adversari may make request applic leverag non standard api known incorrect valid data thus may manipul suppli metacharact altern encod input result number inject flaw includ sql inject cross site script command execut anoth exampl could api method disabl product applic thus expos danger function within product environ 
capec134,capec137,ChildOf,attack manipul header content email messag inject data via use delimit charact nativ protocol mani applic allow user send email messag fill field exampl web site may link share site friend user provid recipi email address web applic fill field subject bodi pattern attack add header bodi inform email messag inject addit content input field use construct header mail messag attack take advantag fact rfc requir header mail messag separ carriag return result attack inject new header content simpli ad delimit carriag return suppli new head bodi inform attack work user suppli messag bodi sinc carriag return bodi treat normal charact 
capec137,capec134,ParentOf,adversari exploit weak input valid manipul content request paramet purpos undermin secur target paramet encod use text charact separ exampl paramet http get messag encod name valu pair separ ampersand attack suppli text string use fill paramet inject special charact use encod scheme add modifi paramet exampl user input fed direct http get request user provid valu myinput new param myvalu input paramet set myinput new paramet new param also ad valu myvalu signific chang mean queri process server encod scheme paramet identifi separ text charact potenti vulner attack http get encod use one exampl 
capec135,capec137,ChildOf,adversari includ format charact string input field target applic applic assum user provid static text may respond unpredict presenc format charact exampl certain function c program languag printf format charact print content memori locat expect locat identifi string format charact n print number dword written memori adversari use read write memori locat file simpli manipul valu result text unexpect way read write memori may result program crash write memori could result execut arbitrari code adversari write program stack 
capec137,capec135,ParentOf,adversari exploit weak input valid manipul content request paramet purpos undermin secur target paramet encod use text charact separ exampl paramet http get messag encod name valu pair separ ampersand attack suppli text string use fill paramet inject special charact use encod scheme add modifi paramet exampl user input fed direct http get request user provid valu myinput new param myvalu input paramet set myinput new paramet new param also ad valu myvalu signific chang mean queri process server encod scheme paramet identifi separ text charact potenti vulner attack http get encod use one exampl 
capec136,capec248,ChildOf,attack manipul craft ldap queri purpos undermin secur target applic use user input creat ldap queri process ldap server exampl user might provid usernam authent usernam might insert ldap queri authent process attack could use input inject addit command ldap queri could disclos sensit inform exampl enter aforement queri might return inform user system attack similar sql inject attack manipul queri gather addit inform coerc particular return valu 
capec248,capec136,ParentOf,adversari look execut command choos inject new item exist command thus modifi interpret away intend command context often standalon string interpret downstream compon caus specif respons type attack possibl untrust valu use build command string weak input valid command construct enabl attack lead success exploit 
capec138,capec137,ChildOf,adversari suppli valu target applic use reflect method identifi class method field exampl java program languag reflect librari permit applic inspect load invok class compon name adversari control input method includ name class method field paramet pass method caus target applic invok incorrect method read random field even load util malici class adversari creat lead applic reveal sensit inform return incorrect result even adversari take control target applic 
capec137,capec138,ParentOf,adversari exploit weak input valid manipul content request paramet purpos undermin secur target paramet encod use text charact separ exampl paramet http get messag encod name valu pair separ ampersand attack suppli text string use fill paramet inject special charact use encod scheme add modifi paramet exampl user input fed direct http get request user provid valu myinput new param myvalu input paramet set myinput new paramet new param also ad valu myvalu signific chang mean queri process server encod scheme paramet identifi separ text charact potenti vulner attack http get encod use one exampl 
capec139,capec126,ChildOf,attack exploit weak input valid target suppli special construct path util dot slash charact purpos obtain access arbitrari file resourc attack modifi known path target order reach materi avail intend channel attack normal involv ad addit path separ dot encod thereof various combin order reach parent directori entir separ tree target directori structur 
capec126,capec139,ParentOf,adversari use path manipul method exploit insuffici input valid target obtain access data retriev ordinari well form request typic varieti attack involv specifi path desir file togeth dot dot slash charact result file access api function travers intend directori structur root file system replac modifi expect path inform access function api retriev file desir attack attack either involv attack provid complet path target file use control charact e g path separ dot reach desir directori file 
capec14,capec100,ChildOf,type attack exploit buffer overflow vulner target client softwar inject malici content custom built hostil servic 
capec100,capec14,ParentOf,buffer overflow attack target improp miss bound check buffer oper typic trigger input inject adversari consequ adversari abl write past boundari alloc buffer region memori caus program crash potenti redirect execut per adversari choic 
capec140,capec74,ChildOf,web applic requir user submit inform order sequenc web form often done larg amount inform collect inform earlier form use pre popul field determin addit inform applic need collect attack know name various form sequenc may abl explicit type name later form navig without first go previous form result incomplet collect inform incorrect assumpt inform submit attack problem impair function applic 
capec74,capec140,ParentOf,adversari modifi state inform maintain target softwar user access locat success target softwar use taint state inform execut unintend manner state manag import function within applic user state maintain applic includ usernam payment inform brows histori well applic specif content item shop cart manipul user state employ adversari elev privileg conduct fraudul transact otherwis modifi flow applic deriv certain benefit 
capec141,capec161,ChildOf,attack exploit function cach technolog caus specif data cach aid attack object describ attack wherebi attack place incorrect harm materi cach target cach applic cach e g web browser cach public cach e g dns arp cach cach refresh applic client treat corrupt cach valu valid lead wide rang exploit includ redirect web browser toward site instal malwar repeat incorrect calcul base incorrect valu 
capec161,capec141,ParentOf,attack exploit characterist infrastructur network entiti order perpetr attack inform gather network object effect chang ordinari inform flow network object often involv manipul rout network messag instead arriv proper destin direct toward entiti attack choos usual server control attack victim often unawar messag process correct exampl target client may believ connect bank fact connect pharm site control attack collect user login inform order hijack actual bank account 
capec142,capec141,ChildOf,domain name server translat domain name www exampl com ip address internet host use contact internet resourc adversari modifi public dns cach caus certain name resolv incorrect address adversari specifi result client applic reli upon target cach domain name resolut direct actual address specifi domain name address adversari use herd client site instal malwar victim comput masquerad part pharm attack 
capec141,capec142,ParentOf,attack exploit function cach technolog caus specif data cach aid attack object describ attack wherebi attack place incorrect harm materi cach target cach applic cach e g web browser cach public cach e g dns arp cach cach refresh applic client treat corrupt cach valu valid lead wide rang exploit includ redirect web browser toward site instal malwar repeat incorrect calcul base incorrect valu 
capec142,capec89,CanPrecede,domain name server translat domain name www exampl com ip address internet host use contact internet resourc adversari modifi public dns cach caus certain name resolv incorrect address adversari specifi result client applic reli upon target cach domain name resolut direct actual address specifi domain name address adversari use herd client site instal malwar victim comput masquerad part pharm attack 
capec89,capec142,CanFollow,pharm attack occur victim fool enter sensit data suppos trust locat onlin bank site trade platform attack imperson suppos trust site victim direct site rather origin intend one pharm requir script inject click malici link attack succeed 
capec143,capec150,ChildOf,attack search target web site web page public general involv map publish web site spider publish link attempt access well known debug log page otherwis predict page within site tree exampl attack might abl notic pattern name document extrapol pattern discov addit document creat longer extern link use attack may abl gain access inform target site intend make public 
capec150,capec143,ParentOf,adversari exploit well known locat resourc purpos undermin secur target mani system file resourc organ default tree structur use adversari often know look resourc file necessari attack even precis locat target resourc may known name convent may indic small area target machin file tree resourc typic locat exampl configur file normal store etc director unix system adversari take advantag commit type attack 
capec144,capec150,ChildOf,attack search target web site web servic public general involv map publish web site spider publish link attempt access well known debug log servic otherwis predict servic within site tree attack especi danger sinc unpublish avail servic may adequ secur control place upon given administr may believ unreach 
capec150,capec144,ParentOf,adversari exploit well known locat resourc purpos undermin secur target mani system file resourc organ default tree structur use adversari often know look resourc file necessari attack even precis locat target resourc may known name convent may indic small area target machin file tree resourc typic locat exampl configur file normal store etc director unix system adversari take advantag commit type attack 
capec145,capec148,ChildOf,adversari spoof checksum messag purpos make payload appear valid correspond checksum checksum use verifi messag integr consist valu base valu messag protect hash code common checksum mechan sender recipi abl comput checksum base content messag messag content chang sender recipi sender recipi comput differ checksum valu sinc sender checksum valu transmit messag recipi would know modif occur checksum spoof adversari modifi messag bodi modifi correspond checksum recipi checksum calcul match checksum creat adversari messag would prevent recipi realiz chang occur 
capec148,capec145,ParentOf,adversari modifi content make contain someth origin content produc intend keep appar sourc content unchang term content spoof often use describ modif web page host target display adversari content instead owner content howev content spoof includ content email messag file transfer content network communic protocol content modifi sourc e g modifi sourc file web page transit e g intercept modifi messag sender recipi usual adversari attempt hide fact content modifi case web site defac necessari content spoof lead malwar exposur financi fraud content govern financi transact privaci violat unwant outcom 
capec146,capec271,ChildOf,adversari corrupt modifi content xml schema inform pass client server purpos undermin secur target xml schema provid structur content definit xml document schema poison abil manipul schema either replac modifi compromis program process document use schema possibl attack denial servic attack modifi schema contain requir inform subsequ process exampl unalt schema may requir name attribut submit document adversari remov attribut schema document creat use new grammar may lack field may caus process applic enter unexpect state record incomplet data addit manipul data type describ schema may affect result calcul taken document reader exampl float field could chang int field final adversari may chang encod defin schema certain field allow content bypass filter scan danger string exampl modifi schema might us url encod instead ascii filter catch semicolon might fail detect url encod b 
capec271,capec146,ParentOf,adversari corrupt modifi content schema purpos undermin secur target schema provid structur content definit resourc use applic replac modifi schema adversari affect applic handl interpret resourc often lead possibl denial servic enter unexpect state record incomplet data 
capec147,capec528,ChildOf,attack initi resourc deplet attack larg number small xml messag deliv suffici rapid rate caus denial servic crash target transact repetit soap transact deplet resourc faster simpl flood attack addit resourc use soap protocol resourc necessari process soap messag transact use immateri long caus resourc util target word normal flood attack augment use messag requir extra process target 
capec528,capec147,ParentOf,adversari may execut flood attack use xml messag intent deni legitim user access web servic attack accomplish send larg number xml base request let servic attempt pars one 
capec149,capec169,ChildOf,attack explor target identifi name locat predict temporari file purpos launch attack target involv analyz name convent storag locat temporari file creat target applic attack predict name temporari file use inform mount attack inform gather symlink attack 
